,FNR,FPR,AUTOMATED,REJECT_TRUE,threshold_for_10_model,threshold__for_3_model
302,3.51,15.3,80.53,80.35,0.023288590604026847,0.023288590604026847
303,3.56,14.93,80.88,80.7,0.023288590604026847,0.02993288590604027
304,3.61,14.58,81.23,81.04,0.023288590604026847,0.03657718120805369
305,3.64,14.5,81.3,81.11,0.023288590604026847,0.043221476510067115
306,3.7,14.41,81.39,81.2,0.023288590604026847,0.04986577181208054
307,3.75,14.32,81.48,81.29,0.023288590604026847,0.05651006711409396
308,3.77,14.27,81.52,81.33,0.023288590604026847,0.06315436241610738
309,3.77,14.25,81.54,81.35,0.023288590604026847,0.0697986577181208
310,3.82,14.14,81.65,81.45,0.023288590604026847,0.07644295302013422
311,3.82,14.11,81.68,81.48,0.023288590604026847,0.08308724832214764
312,3.82,14.1,81.69,81.49,0.023288590604026847,0.08973154362416107
313,3.84,14.09,81.7,81.5,0.023288590604026847,0.09637583892617449
314,3.84,14.08,81.71,81.51,0.023288590604026847,0.10302013422818791
315,3.84,14.08,81.71,81.51,0.023288590604026847,0.10966442953020133
316,3.85,14.07,81.72,81.52,0.023288590604026847,0.11630872483221476
317,3.86,14.07,81.72,81.52,0.023288590604026847,0.12295302013422818
318,3.86,14.07,81.72,81.53,0.023288590604026847,0.12959731543624162
319,3.86,14.06,81.72,81.53,0.023288590604026847,0.13624161073825503
320,3.87,14.06,81.73,81.53,0.023288590604026847,0.14288590604026846
321,3.87,14.06,81.73,81.53,0.023288590604026847,0.1495302013422819
322,3.87,14.06,81.73,81.53,0.023288590604026847,0.1561744966442953
323,3.87,14.06,81.73,81.53,0.023288590604026847,0.16281879194630872
324,3.87,14.05,81.74,81.54,0.023288590604026847,0.16946308724832215
325,3.87,14.05,81.74,81.54,0.023288590604026847,0.1761073825503356
326,3.87,14.05,81.74,81.54,0.023288590604026847,0.182751677852349
327,3.87,14.05,81.74,81.55,0.023288590604026847,0.1893959731543624
328,3.88,14.04,81.75,81.55,0.023288590604026847,0.19604026845637584
329,3.88,14.04,81.75,81.55,0.023288590604026847,0.20268456375838928
